gene_id,gene_name
ENSG00000241860,AL627309.5
ENSG00000237491,LINC01409
ENSG00000228794,LINC01128
ENSG00000188976,NOC2L
ENSG00000187961,KLHL17
ENSG00000187608,ISG15
ENSG00000131591,C1orf159
ENSG00000078808,SDF4
ENSG00000176022,B3GALT6
ENSG00000160087,UBE2J2
ENSG00000131584,ACAP3
ENSG00000127054,INTS11
ENSG00000107404,DVL1
ENSG00000175756,AURKAIP1
ENSG00000221978,CCNL2
ENSG00000242485,MRPL20
ENSG00000160072,ATAD3B
ENSG00000197785,ATAD3A
ENSG00000160075,SSU72
ENSG00000197530,MIB2
ENSG00000189409,MMP23B
ENSG00000248333,CDK11B
ENSG00000189339,SLC35E2B
ENSG00000008128,CDK11A
ENSG00000215790,SLC35E2A
ENSG00000008130,NADK
ENSG00000078369,GNB1
ENSG00000067606,PRKCZ
ENSG00000162585,FAAP20
ENSG00000157933,SKI
ENSG00000116151,MORN1
ENSG00000157916,RER1
ENSG00000157911,PEX10
ENSG00000149527,PLCH2
ENSG00000157881,PANK4
ENSG00000272449,AL139246.5
ENSG00000238164,TNFRSF14-AS1
ENSG00000157873,TNFRSF14
ENSG00000157870,PRXL2B
ENSG00000215912,TTC34
ENSG00000162591,MEGF6
ENSG00000158109,TPRG1L
ENSG00000116213,WRAP73
ENSG00000235169,SMIM1
ENSG00000130764,LRRC47
ENSG00000116198,CEP104
ENSG00000169598,DFFB
ENSG00000198912,C1orf174
ENSG00000131697,NPHP4
ENSG00000069424,KCNAB2
ENSG00000116251,RPL22
ENSG00000116237,ICMT
ENSG00000158292,GPR153
ENSG00000097021,ACOT7
ENSG00000187017,ESPN
ENSG00000215788,TNFRSF25
ENSG00000162408,NOL9
ENSG00000204859,ZBTB48
ENSG00000162413,KLHL21
ENSG00000116273,PHF13
ENSG00000041988,THAP3
ENSG00000007923,DNAJC11
ENSG00000171735,CAMTA1
ENSG00000049245,VAMP3
ENSG00000049246,PER3
ENSG00000049249,TNFRSF9
ENSG00000116288,PARK7
ENSG00000116285,ERRFI1
ENSG00000142599,RERE
ENSG00000232912,RERE-AS1
ENSG00000074800,ENO1
ENSG00000142583,SLC2A5
ENSG00000180758,GPR157
ENSG00000049239,H6PD
ENSG00000171621,SPSB1
ENSG00000171612,SLC25A33
ENSG00000188807,TMEM201
ENSG00000171608,PIK3CD
ENSG00000231789,PIK3CD-AS2
ENSG00000171603,CLSTN1
ENSG00000178585,CTNNBIP1
ENSG00000162441,LZIC
ENSG00000173614,NMNAT1
ENSG00000162444,RBP7
ENSG00000130939,UBE4B
ENSG00000054523,KIF1B
ENSG00000142657,PGD
ENSG00000160049,DFFA
ENSG00000142655,PEX14
ENSG00000130940,CASZ1
ENSG00000120948,TARDBP
ENSG00000271895,AL109811.2
ENSG00000116649,SRM
ENSG00000171824,EXOSC10
ENSG00000198793,MTOR
ENSG00000120942,UBIAD1
ENSG00000132879,FBXO44
ENSG00000116663,FBXO6
ENSG00000116670,MAD2L2
ENSG00000162490,DRAXIN
ENSG00000177674,AGTRAP
ENSG00000177000,MTHFR
ENSG00000011021,CLCN6
ENSG00000285646,AL021155.5
ENSG00000116685,KIAA2013
ENSG00000083444,PLOD1
ENSG00000116688,MFN2
ENSG00000116691,MIIP
ENSG00000120949,TNFRSF8
ENSG00000028137,TNFRSF1B
ENSG00000048707,VPS13D
ENSG00000162496,DHRS3
ENSG00000116731,PRDM2
ENSG00000189337,KAZN
ENSG00000142621,FHAD1
ENSG00000142634,EFHD2
ENSG00000132906,CASP9
ENSG00000116138,DNAJC16
ENSG00000116771,AGMAT
ENSG00000197312,DDI2
ENSG00000116786,PLEKHM2
ENSG00000179743,AL450998.2
ENSG00000065526,SPEN
ENSG00000116809,ZBTB17
ENSG00000142632,ARHGEF19
ENSG00000132881,CPLANE2
ENSG00000037637,FBXO42
ENSG00000055070,SZRD1
ENSG00000187144,SPATA21
ENSG00000157191,NECAP2
ENSG00000226029,LINC01772
ENSG00000219481,NBPF1
ENSG00000058453,CROCC
ENSG00000226526,AL049569.1
ENSG00000159363,ATP13A2
ENSG00000117118,SDHB
ENSG00000117115,PADI2
ENSG00000159339,PADI4
ENSG00000179051,RCC2
ENSG00000074964,ARHGEF10L
ENSG00000159423,ALDH4A1
ENSG00000169991,IFFO2
ENSG00000127481,UBR4
ENSG00000230424,EMC1-AS1
ENSG00000127463,EMC1
ENSG00000053372,MRTO4
ENSG00000053371,AKR7A2
ENSG00000040487,SLC66A1
ENSG00000077549,CAPZB
ENSG00000173436,MICOS10
ENSG00000235185,AL031727.2
ENSG00000158747,NBL1
ENSG00000162542,TMCO4
ENSG00000169914,OTUD3
ENSG00000162543,UBXN10
ENSG00000090432,MUL1
ENSG00000158825,CDA
ENSG00000158828,PINK1
ENSG00000117242,PINK1-AS
ENSG00000244038,DDOST
ENSG00000127483,HP1BP3
ENSG00000075151,EIF4G3
ENSG00000117298,ECE1
ENSG00000142794,NBPF3
ENSG00000090686,USP48
ENSG00000142798,HSPG2
ENSG00000218510,LINC00339
ENSG00000070831,CDC42
ENSG00000285752,CDC42-AS1
ENSG00000230068,CDC42-IT1
ENSG00000184677,ZBTB40
ENSG00000133216,EPHB2
ENSG00000004487,KDM1A
ENSG00000240553,AL031428.1
ENSG00000169641,LUZP1
ENSG00000261326,LINC01355
ENSG00000125944,HNRNPR
ENSG00000204219,TCEA3
ENSG00000007968,E2F2
ENSG00000197880,MDS2
ENSG00000142676,RPL11
ENSG00000236810,ELOA-AS1
ENSG00000011007,ELOA
ENSG00000057757,PITHD1
